CHSI_State_Name,State_FIPS_Code,Population.Size,Poverty,Life_exp,All_Death,Health_Status,Unhealthy_Days,No_Exercise,Few_Fruit_Veg,Obese,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Stroke,CHSI_State_Abbr
Alabama,1,4557808,15.23,74.18,1.51,18.67,7.2,25.73,67.1,23.29,23.01,22.49,8.69,0.04,0.03,0.25,0.09,0.1,AK
Alaska,2,663661,9.85,76.9,3.65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.07,0.49,0.19,0.18,AL
Arizona,4,5939292,13.9,77.28,0.21,15.05,6.13,23.3,73.59,20.55,22.84,19.96,6.75,0.01,0,0.04,0.01,0.01,AR
Arkansas,5,2779154,16.02,74.56,2.68,19.34,7.16,27.14,74.11,23.94,21.75,24.05,7.46,0.07,0.06,0.58,0.19,0.21,AZ
California,6,36132147,13.77,77.63,0.13,16.07,6.54,23.24,68.7,20.3,22.67,15.6,6.27,0,0,0.03,0.01,0.01,CA
Colorado,8,4665177,10,78.33,1.08,11.65,5.37,17.09,70.55,15.92,18.62,18.86,4.55,0.02,0.02,0.18,0.05,0.06,CO
Connecticut,9,3510297,7.97,78.41,0.17,12.27,5.58,21.7,70.8,18.92,24.81,18.68,6.13,0.01,0,0.03,0.01,0.01,CT
Delaware,10,843524,8.99,76.27,0.31,13.3,6.1,24.69,78.72,22.14,27.68,23.07,7.41,0.01,0.01,0.07,0.02,0.02,DC
District of Columbia,11,550521,17.5,72,0.19,12.2,5.4,22.2,68.1,21.3,26.7,20.4,7.8,0.01,0,0.05,0.01,0.01,DE
Florida,12,17789864,13.01,76.19,0.34,16.06,6.19,26.02,73.39,20.27,26.15,21.5,7.97,0.01,0.01,0.08,0.03,0.02,FL
Georgia,13,9072576,13.38,74.29,1.8,13.76,6.27,22.09,66.73,21.06,18.09,19.59,7.1,0.04,0.03,0.33,0.11,0.13,GA
Hawaii,15,1275194,10.81,79.66,0.35,12.84,4.55,19.17,76.7,18,23.74,18.84,6.78,0.01,0.01,0.04,0.01,0.02,HI
Idaho,16,1429096,11.74,77.75,2.52,13.28,6.02,19.79,77.54,21.45,22.79,18.81,6.14,0.06,0.04,0.48,0.12,0.19,IA
Illinois,17,12763371,11.4,76.97,0.7,13.93,5.57,23.79,67.16,21.06,19.97,20.39,6.81,0.02,0.02,0.16,0.05,0.05,ID
Indiana,18,6271973,9.98,76.41,1.34,15.48,6.39,25.31,72.83,24.41,21.12,25.71,7.36,0.04,0.03,0.29,0.09,0.1,IL
Iowa,19,2966334,9.13,78.47,2.63,11.6,4.89,22.15,76.38,22.07,22.78,21.24,6.52,0.09,0.08,0.67,0.16,0.19,IN
Kansas,20,2744687,10.42,77.41,3.21,12.47,5.05,23.42,72.75,21.84,18.97,20.06,6.34,0.08,0.07,0.67,0.19,0.22,KS
Kentucky,21,4173405,14.92,74.76,2.96,21.89,7.93,29.58,76.44,23.87,21.64,27.36,7.79,0.07,0.07,0.64,0.23,0.2,KY
Louisiana,22,4523628,18.07,73.95,1.47,17.28,5.69,31.75,80.13,25.44,25.83,23.69,8.04,0.04,0.03,0.3,0.1,0.1,LA
Maine,23,1321505,10.69,77.35,1.04,14.19,6.2,22.65,72.38,21.3,23.76,22.24,7.02,0.03,0.03,0.2,0.07,0.07,MA
Maryland,24,5600388,8.85,76.55,0.38,12.26,5.81,22.74,70.86,22.17,26.04,19.98,7.04,0.01,0.01,0.09,0.03,0.02,MD
Massachusetts,25,6398743,9.53,78.41,0.18,12.83,5.8,22.13,70.75,18.44,23.79,18.88,6.04,0.01,0,0.03,0.01,0.01,ME
Michigan,26,10120860,10.94,76.92,0.71,14.11,6.21,22.08,71.77,24.13,23.85,22.6,7.82,0.02,0.02,0.17,0.05,0.05,MI
Minnesota,27,5132799,8,78.9,1.29,10.27,5.22,15.72,67.29,19.75,18.4,19.16,4.99,0.04,0.03,0.24,0.08,0.09,MN
Mississippi,28,2921088,18.3,73.33,2.96,21.14,7.07,30.19,75.12,26.56,21.77,24.04,9.46,0.08,0.06,0.64,0.19,0.2,MO
Missouri,29,5800310,11.61,75.85,1.87,15.5,6.59,23.64,70.04,22.29,20.07,22.98,7.03,0.05,0.04,0.42,0.12,0.13,MS
Montana,30,935670,14.2,76.77,5.14,12.84,5.4,20.03,74.86,18.81,21.86,20,5.57,0.09,0.08,0.89,0.28,0.33,MT
Nebraska,31,1758787,9.97,78.11,4.21,12.33,4.89,22.84,75.8,22.66,19.22,20.57,6.17,0.08,0.09,0.75,0.2,0.26,NC
Nevada,32,2414807,11.01,75.91,0.64,16,6.76,24.11,77.93,20.99,24.47,25,6.7,0.01,0.01,0.12,0.04,0.03,ND
New Hampshire,33,1309940,6.42,77.94,0.61,10.54,5.58,20.59,71.87,20.53,23.32,21.88,6.04,0.02,0.02,0.14,0.04,0.04,NE
New Jersey,34,8717925,8.87,77.29,0.2,14.63,5.79,26.38,73.2,20.58,25.93,19.34,6.87,0.01,0.01,0.05,0.01,0.01,NH
New Mexico,35,1928384,17.67,77.07,1.44,17.36,6.61,23.12,77.72,20.66,20.53,21.61,6.53,0.03,0.02,0.29,0.07,0.08,NJ
New York,36,19254630,14.32,77.56,0.27,16.8,6.11,27.33,70.08,20.53,23.19,20.32,7.32,0.01,0.01,0.07,0.02,0.02,NM
North Carolina,37,8683242,13.4,75.26,1.09,17.37,6.15,25.3,71.72,23.02,22.53,23.24,7.73,0.03,0.02,0.22,0.07,0.08,NV
North Dakota,38,636677,10.49,77.61,6.58,11.84,4.79,21.55,72.67,22.27,20.54,20.59,5.9,0.14,0.14,1.46,0.32,0.44,NY
Ohio,39,11464042,10.62,76.39,0.7,12.48,5.83,20.12,63.64,19.44,18.79,19.68,7,0.02,0.02,0.15,0.05,0.05,OH
Oklahoma,40,3547884,14.65,74.94,2.15,18.03,6.67,30.08,81.26,23.69,26.99,25.1,7.74,0.05,0.04,0.53,0.14,0.14,OK
Oregon,41,3641056,11.99,77.31,0.82,15.29,6.28,17.85,72.37,21.67,23.17,19.99,6.22,0.02,0.02,0.15,0.05,0.07,OR
Pennsylvania,42,12429616,10.55,77.12,0.46,14.75,6.12,23.71,73.26,23.27,25.07,23.62,7.77,0.01,0.01,0.1,0.03,0.03,PA
Rhode Island,44,1076189,11.32,78.62,0.36,14.51,5.8,25.29,72.33,19.2,27.11,21.86,6.62,0.01,0.01,0.09,0.02,0.02,RI
South Carolina,45,4255083,13.81,74.35,1.07,16.31,6.44,24.8,75.29,25.1,27.25,24.31,8.72,0.03,0.02,0.2,0.07,0.08,SC
South Dakota,46,775933,12.33,76.96,7.14,12.13,4.94,22.35,78.34,22.36,23.53,21.59,6.27,0.12,0.15,1.51,0.37,0.44,SD
Tennessee,47,5962959,13.51,74.64,1.62,17.22,6.11,26.57,56.25,21.42,24.66,21.64,8.4,0.04,0.03,0.4,0.11,0.12,TN
Texas,48,22859968,16.2,76.12,1.01,16.44,5.94,22.61,63.84,21.15,18.06,17.66,6.66,0.02,0.02,0.23,0.06,0.07,TX
Utah,49,2469585,10.08,78.26,0.94,11.64,5.98,17.42,78.34,19.78,19.27,11.54,5.15,0.02,0.01,0.15,0.03,0.06,UT
Vermont,50,623050,9.15,77.93,1.82,11.15,5.62,19.21,69.6,19.13,22.84,20.09,5.52,0.06,0.05,0.4,0.12,0.11,VA
Virginia,51,7567465,10.01,76.09,1.68,11.62,6.19,18.92,57.79,19.13,19.89,17.83,6.44,0.05,0.04,0.33,0.11,0.12,VT
Washington,53,6287759,11.02,77.84,0.5,12.98,5.99,16.87,75.08,21.44,23.87,19.61,6.2,0.01,0.01,0.1,0.04,0.04,WA
West Virginia,54,1816856,16.27,75.02,3.04,23.84,8.23,27.61,74.86,26.57,27.36,26.66,9.96,0.08,0.07,0.71,0.21,0.18,WI
Wisconsin,55,5536201,8.95,77.99,1.06,11.8,5.65,19.18,73.18,21.71,20.58,21.83,5.9,0.03,0.03,0.22,0.06,0.08,WV
Wyoming,56,509294,10.78,77.19,3.89,12.49,5.55,21.24,78.47,20.67,23.06,22.84,5.71,0.09,0.09,0.67,0.22,0.26,WY
