State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Health_Status,Unhealthy_Days,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Stroke
1,1,Autauga,Alabama,AL,29,48612,82,10.4,80.7,17.3,0.5,0.6,1.7,74.9,1041.5,21.8,7.5,27.8,78.6,24.5,29.1,26.6,14.2,34.1,15.9,172.4,65.3,73.9
1,3,Baldwin,Alabama,AL,16,162586,102,10.2,88.4,9.9,0.5,0.4,2.3,76.6,856.9,15.4,6.7,27.2,76.2,23.6,30.5,24.6,7.2,22.5,15.3,156.5,62.1,48.7
1,5,Barbour,Alabama,AL,51,28414,32,22.1,52.2,46.8,0.4,0.3,3.1,74.5,1019.4,21.4,NA,NA,NA,25.6,NA,17.7,6.6,30.5,23.4,95.3,70.6,84.5
1,7,Bibb,Alabama,AL,42,21516,35,16.8,76.8,22.5,0.3,0.1,1.4,73.2,1050.5,19.4,NA,NA,86.6,NA,NA,NA,13.1,30.1,17.4,184.7,64.6,144.6
1,9,Blount,Alabama,AL,28,55725,86,11.9,97.1,1.5,0.5,0.2,6.3,76.1,954.2,25.8,7.9,33.5,74.6,24.2,NA,23.6,8.4,30.2,16.8,148.2,71.7,47.3
1,11,Bullock,Alabama,AL,75,11055,18,26.2,27.8,71.4,0.4,0.2,5.9,71.9,1107.6,NA,NA,NA,NA,NA,NA,NA,NA,30.4,23,221.4,49.9,67.8
1,13,Butler,Alabama,AL,76,20766,27,20,57.5,41.9,0.2,0.3,0.9,73,1084.2,21.6,6.9,24.5,NA,22,NA,27.3,9.5,20.5,17.8,229,52.5,84.5
1,15,Calhoun,Alabama,AL,6,112141,184,16.4,78.3,19.7,0.4,0.8,2,73.1,1100.3,26.7,8,29.2,81.9,27,33.2,25.5,11.2,26.4,18.4,189.3,73.5,79.2
1,17,Chambers,Alabama,AL,50,35460,59,16.2,60.8,38.6,0.1,0.2,1.2,73.8,1075.6,32.3,7.9,34.7,84.6,NA,NA,11.7,17.1,25.3,13.8,110.8,63.1,97.6
1,19,Cherokee,Alabama,AL,64,24522,44,15.2,93.3,5.5,0.3,0.3,1.1,75.3,999.3,NA,8.8,NA,NA,NA,NA,23.6,13.3,11,15.3,160.4,54.1,59
1,21,Chilton,Alabama,AL,32,41744,60,14.9,88.3,10.5,0.3,0.4,3.7,74.1,1040.4,26,9.7,30.3,82.8,31.2,26.5,30,6,16.2,13.7,188.1,63.6,70.3
1,23,Choctaw,Alabama,AL,66,14807,16,18.7,55.7,43.9,0.1,0.1,0.8,74.6,975.7,29.8,NA,NA,NA,NA,NA,17.1,13.5,30.2,21.1,221,65.7,84.1
1,25,Clarke,Alabama,AL,51,27269,22,19.2,55.8,43.7,0.2,0.2,0.7,74,982,NA,5.8,31.5,NA,NA,NA,NA,15.8,21.4,25.6,190.2,52.7,75
1,27,Clay,Alabama,AL,63,13964,23,14,84.2,15,0.3,0.1,2.1,74.9,950.3,NA,7.1,NA,NA,NA,NA,23.9,12.2,14.4,12.5,222.8,54.2,66.9
